,age_bracket,Gender,County,Party,Count,voted_2024,voted_2020,voted_2016
451,35-50,Female,Prince George's,UNA,15858,8324,7758,6105
452,35-50,Female,Queen Anne's,DEM,1391,1044,1005,896
453,35-50,Female,Queen Anne's,OTH,75,48,41,32
454,35-50,Female,Queen Anne's,REP,2173,1785,1686,1481
455,35-50,Female,Queen Anne's,UNA,1225,832,760,603
456,35-50,Female,Saint Mary's,DEM,3889,2849,2710,2315
457,35-50,Female,Saint Mary's,OTH,221,120,102,87
458,35-50,Female,Saint Mary's,REP,4166,3351,3011,2619
459,35-50,Female,Saint Mary's,UNA,3008,1932,1603,1276
460,35-50,Female,Somerset,DEM,710,393,417,388
461,35-50,Female,Somerset,OTH,38,24,19,17
462,35-50,Female,Somerset,REP,597,456,439,390
463,35-50,Female,Somerset,UNA,357,178,170,126
464,35-50,Female,Talbot,DEM,1211,884,827,721
465,35-50,Female,Talbot,OTH,49,28,27,20
466,35-50,Female,Talbot,REP,1033,829,782,674
467,35-50,Female,Talbot,UNA,752,454,415,325
468,35-50,Female,Washington,DEM,4589,3098,2836,2497
469,35-50,Female,Washington,OTH,341,160,145,140
470,35-50,Female,Washington,REP,4959,3734,3269,3021
471,35-50,Female,Washington,UNA,3956,2185,1800,1620
472,35-50,Female,Wicomico,DEM,3716,2394,2345,2107
473,35-50,Female,Wicomico,OTH,216,92,93,71
474,35-50,Female,Wicomico,REP,2600,2025,1866,1647
475,35-50,Female,Wicomico,UNA,2282,1258,1107,939
476,35-50,Female,Worcester,DEM,1591,1137,1104,913
477,35-50,Female,Worcester,OTH,104,52,45,36
478,35-50,Female,Worcester,REP,1783,1402,1300,1114
479,35-50,Female,Worcester,UNA,1229,692,643,518
480,35-50,Male,Allegany,DEM,1140,662,596,523
481,35-50,Male,Allegany,OTH,177,68,66,52
482,35-50,Male,Allegany,REP,2729,1864,1667,1491
483,35-50,Male,Allegany,UNA,1503,727,568,506
484,35-50,Male,Anne Arundel,DEM,19200,13047,12598,9816
485,35-50,Male,Anne Arundel,OTH,1535,808,746,575
486,35-50,Male,Anne Arundel,REP,17090,12713,11513,9421
487,35-50,Male,Anne Arundel,UNA,18358,11244,10039,7202
488,35-50,Male,Baltimore City,DEM,35834,17845,17922,15735
489,35-50,Male,Baltimore City,OTH,1627,471,457,387
490,35-50,Male,Baltimore City,REP,4908,2053,1897,1575
491,35-50,Male,Baltimore City,UNA,12775,4822,4535,3556
492,35-50,Male,Baltimore County,DEM,31237,19707,19383,16656
493,35-50,Male,Baltimore County,OTH,2024,949,877,725
