year,month,county,inactive
2023,05,ANNE ARUNDEL,27543
2023,05,BALTIMORE CITY,22090
2023,05,BALTIMORE CO.,29460
2023,05,CALVERT,4945
2023,05,CAROLINE,1244
2023,05,CARROLL,5977
2023,05,CECIL,4783
2023,05,CHARLES,8587
2023,05,DORCHESTER,932
2023,05,FREDERICK,12931
2023,05,GARRETT,950
2023,05,HARFORD,10975
2023,05,HOWARD,12883
2023,05,KENT,703
2023,05,MONTGOMERY,58980
2023,05,PR. GEORGE'S,37125
2023,05,QUEEN ANNE'S,1824
2023,05,ST. MARY'S,2884
2023,05,SOMERSET,441
2023,05,TALBOT,1305
2023,05,WASHINGTON,9685
2023,05,WICOMICO,3776
2023,05,WORCESTER,2574
2024,11,ALLEGANY,3551
2024,11,ANNE ARUNDEL,38107
2024,11,BALTIMORE CITY,26332
2024,11,BALTIMORE CO.,34401
2024,11,CALVERT,5724
2024,11,CAROLINE,1510
2024,11,CARROLL,7576
2024,11,CECIL,5401
2024,11,CHARLES,10039
2024,11,DORCHESTER,1033
2024,11,FREDERICK,15689
2024,11,GARRETT,1401
2024,11,HARFORD,13494
2024,11,HOWARD,15295
2024,11,KENT,846
2024,11,MONTGOMERY,71341
2024,11,PR. GEORGE'S,42391
2024,11,QUEEN ANNE'S,949
2024,11,ST. MARY'S,7758
2024,11,SOMERSET,578
2024,11,TALBOT,1875
2024,11,WASHINGTON,11771
2024,11,WICOMICO,5208
2024,11,WORCESTER,3148
2018,03,ALLEGANY,3036
2018,03,ANNE ARUNDEL,21162
2018,03,BALTIMORE CITY,27452
2018,03,BALTIMORE CO.,27802
2018,03,CALVERT,4348
2018,03,CAROLINE,1085
2018,03,CARROLL,7228
2018,03,CECIL,7564
2018,03,CHARLES,7904
2018,03,DORCHESTER,1376
2018,03,FREDERICK,11637
2018,03,GARRETT,1341
2018,03,HARFORD,9551
2018,03,HOWARD,14279
2018,03,KENT,874
2018,03,MONTGOMERY,82673
2018,03,PR. GEORGE'S,43829
2018,03,QUEEN ANNE'S,2160
2018,03,ST. MARY'S,5935
2018,03,SOMERSET,1077
2018,03,TALBOT,1492
2018,03,WASHINGTON,9122
2018,03,WICOMICO,4165
2018,03,WORCESTER,2404
2017,01,ALLEGANY,1838
2017,01,ANNE ARUNDEL,9787
2017,01,BALTIMORE CITY,16350
2017,01,BALTIMORE CO.,18167
2017,01,CALVERT,2975
2017,01,CAROLINE,725
2017,01,CARROLL,4609
2017,01,CECIL,3997
2017,01,CHARLES,3747
2017,01,DORCHESTER,969
2017,01,FREDERICK,5441
